wounded;israel:231 killed899 wounded4 capturedunited kingdom:16 killed96 woundedfrance:10 killed33 wounded;http://dbpedia.org/ontology/causalties
most;100\u2013300 at most;http://dbpedia.org/ontology/causalties
killed;877 killed;http://dbpedia.org/ontology/causalties
killed;1+ killed;http://dbpedia.org/ontology/causalties
lost;29 ships lost;http://dbpedia.org/ontology/causalties
lost;615 aircraft lost;http://dbpedia.org/ontology/causalties
recovered;2 captured but recovered;http://dbpedia.org/ontology/causalties
lost;2 battleships totally lost;http://dbpedia.org/ontology/causalties
recovered;2 battleships sunk and recovered;http://dbpedia.org/ontology/causalties
damaged;3 battleships damaged;http://dbpedia.org/ontology/causalties
grounded;1 battleship grounded;http://dbpedia.org/ontology/causalties
other;2 other ships sunkref;http://dbpedia.org/ontology/causalties
damaged;3 destroyers damaged;http://dbpedia.org/ontology/causalties
damaged;3 other ships damaged;http://dbpedia.org/ontology/causalties
destroyed;188 aircraft destroyed;http://dbpedia.org/ontology/causalties
damaged;159 aircraft damaged;http://dbpedia.org/ontology/causalties
dead;340 dead;http://dbpedia.org/ontology/causalties
wounded;574 wounded;http://dbpedia.org/ontology/causalties
sunk;1 carrier sunk;http://dbpedia.org/ontology/causalties
sunk;1 destroyer sunk;http://dbpedia.org/ontology/causalties
destroyed;~150 aircraft destroyed;http://dbpedia.org/ontology/causalties
killed;307 killed;http://dbpedia.org/ontology/causalties
fleet;1 fleet carrierscuttled;http://dbpedia.org/ontology/causalties
sunk;1 oiler sunk;http://dbpedia.org/ontology/causalties
damaged;1 fleet carrier damaged;http://dbpedia.org/ontology/causalties
killed;656 killed;http://dbpedia.org/ontology/causalties
killed;3 killed;http://dbpedia.org/ontology/causalties
sunk;33 warships sunk;http://dbpedia.org/ontology/causalties
damaged;1 destroyer slightly damaged;http://dbpedia.org/ontology/causalties
damaged;1 aircraft slightly damaged;http://dbpedia.org/ontology/causalties
dead;8 dead;http://dbpedia.org/ontology/causalties
dutch;dutch republic:;http://dbpedia.org/ontology/causalties
lost;56 warships lost;http://dbpedia.org/ontology/causalties
